A1      吖阿呵啊腌锕錒
BENG5   伻祊挷泵甭迸埄蚌埲奟崩绷菶逬揼琣琫絣閍傰嵭痭跰嘣塴綳甏錋镚繃鞛蹦鏰
BI1     皀屄偪毴逼楅榌豍螕鲾鎞鵖鰏
BI2     荸鼻
BI3     匕比夶朼佊吡妣沘疕彼柀秕俾娝笔粃舭啚崥筆鄙聛貏
BI4     币必毕闬闭佖坒庇诐邲咇妼怭怶拂枈泌畀畁肸苾哔柲毖珌畐疪胇荜贲陛毙狴畢秘笓粊袐铋婢庳敝旇梐紴翍萆萞閇閈閉堛弻弼愊愎湢皕禆筚詖貱賁赑嗶彃滗滭煏痹痺腷蓖蓽蜌裨跸辟鉍閟飶幣弊熚獙碧稫箅箆綼蔽鄪鞁馝幤潷獘罼襅駜髲壀壁嬖廦篦篳縪薜觱踾避鮅鴓斃濞臂蹕鞞髀鮩奰璧鄨饆繴襞襣鏎鞸韠蘗躃躄魓鶝贔鐴驆鷝鷩鸊鼊
BI5     匕币比必夶朼毕闬闭佊佖吡坒妣庇沘疕皀诐邲咇妼屄彼怭怶拂枈泌畀畁肸苾哔柀柲毖珌畐疪秕胇荜贲陛俾娝毙狴畢秘笓笔粃粊舭荸袐铋偪啚婢崥庳敝旇梐紴翍萆萞閇閈閉堛弻弼愊愎毴湢皕禆筆筚詖貱賁赑逼嗶彃楅榌滗滭煏痹痺腷蓖蓽蜌裨跸辟鄙鉍閟飶幣弊熚獙碧稫箅箆綼聛蔽鄪鞁馝鼻幤潷獘罼襅豍貏駜髲壀壁嬖廦篦篳縪薜螕觱踾避鮅鴓斃濞臂蹕鞞髀鮩鲾奰璧鄨鎞饆鵖繴襞襣鏎鞸韠蘗躃躄魓鰏鶝贔鐴驆鷝鷩鸊鼊
BIAN1   边砭笾揙猵编萹煸牑箯糄編臱蝙鞕獱邉鍽鳊邊鞭鯾鯿籩
BIAN3   釆贬扁疺窆匾貶惼萹碥稨褊糄編豍鴘藊覵
BIAN4   卞弁忭抃汳汴苄邲釆玣便变変昪覍徧揙缏遍閞辡緶艑頨辧辨辩辫辮辯變
BIAN5   边便邊
BIAO1   灬杓彪标飑骉髟淲猋脿墂幖摽滮蔈颮骠標熛膔膘麃瘭磦镖飙飚儦颷瀌藨謤爂臕贆鏢穮镳飆飇飈飊驃鑣驫
BIAO3   表婊裱諘褾錶檦
BIAO4   俵脿摽標鳔鰾
BIAO5   灬杓表彪标飑骉俵髟婊淲猋脿嫑裱墂幖摽滮蔈颮骠標熛膔膘諘麃瘭磦褾錶镖飙飚儦檦颷瀌藨謤爂臕贆鏢鳔穮镳飆飇飈飊驃鰾鑣驫
BIE1    憋瘪蟞癟鳖鱉鼈虌龞
BIE2    別别咇苾柲莂蛂徶襒蟞蹩
BIE3    瘪癟
BIE4    別别彆
BIE5    别彆
BIN1    汃邠玢宾彬訜傧斌椕滨缤槟瑸豩賓賔镔儐濒赟濱濵虨豳檳璸瀕贇霦繽鑌顮
BIN4    摈殡膑髩儐擯鬂殯臏髌鬓髕鬢
BIN5    汃邠玢宾彬訜傧斌椕摈滨缤槟殡瑸膑豩賓賔髩镔儐濒赟擯濱濵虨豳鬂檳殯璸臏瀕贇霦髌繽鬓鑌顮髕鬢
BING1   仌仒氷冰并兵幷屏栟掤梹絣槟檳
BING3   丙邴陃怲抦秉苪屏庰昞昺柄炳饼眪窉偋屛蛃寎棅琕禀稟綆鈵鉼餅餠鞞癛癝鞸
BING4   疒并並併幷庰倂栤病竝偋傡寎摒誁鮩靐
BING5   饼病餅
BO1     癶妭拨波玻剝剥哱盋砵般袚袯趵钵饽紴缽菠溊發碆鉢僠嶓撥播潑餑鮁磻襏蹳驋鱍
BO2     仢彴伯孛犻肑驳帗帛泊狛瓝苩茀侼勃柏柭胉郣亳挬浡瓟秡袯钹铂桲淿脖舶萡袹博渤湐葧詙鹁愽搏猼鈸鉑馎鲌僰煿牔箔膊艊馛駁魄踣鋍镈壆薄馞駮鮊襏豰嚗懪礡簙鎛餺鵓犦髆髉欂襮礴鑮
BO3     蚾跛箥簸
BO4     柏掰蔢孹薄擘檗檘襎簸糪譒蘗
BO5     卜伯饽啵膊蔔噃餑
BU1     巭陠峬庯逋钸晡秿鈽誧餔鵏
BU2     不輹轐醭
BU3     卜卟补哺捕堡補鳪撲獛鵏鸔
BU4     不布佈吥步咘怖抪歨歩柨钚陠勏埔埗尃悑捗荹部埠婄瓿鈈廍蔀箁踄郶餔篰餢簿醭
BU5     不补補
CA1     拆嚓擦攃
CA3     礤礸
CA5     拆遪嚓擦攃礤囃礸
CAI1    偲啋猜揌
CAI2    才材财財裁纔
CAI3    毝采倸啋埰婇寀彩採睬跴綵踩
CAI4    采埰菜棌蔡縩
CAI5    材彩
CAN1    参參飡骖叅喰湌傪飱嵾嬠餐鲹鯵爘驂鰺
CAN2    残蚕惭殘慚摲蝅慙嬱蹔蠶蠺
CAN3    惨朁慘憯黪黲
CAN4    灿掺孱粲嘇摻儏澯薒燦璨謲
CAN5    灿参残蚕參惨惭掺飡骖叅喰孱朁殘湌傪粲飱嘇嵾慘慚摲摻蝅儏慙憯嬠澯薒餐鲹嬱燦璨謲蹔鯵爘黪驂鰺黲蠶蠺
CANG1   仓仺伧沧苍鸧倉舱傖凔嵢滄獊蒼濸篬艙螥鶬
CANG2   匨蔵藏鑶
CANG5   仓仺伧沧苍匨鸧倉舱傖凔嵢滄獊蒼蔵濸篬艙螥藏賶鶬鑶
CAO1    撡操糙
CAO2    曺曹傮嘈嶆慒漕蓸槽褿艚螬鏪
CAO3    屮艹艸草愺慅懆騲
CAO5    糙
CE4     冊册侧厕恻拺测荝敇畟側厠笧粣萗廁惻測策萴筞筴蓛墄箣憡簎齰
CE5     冊册侧厕恻拺测荝敇畟側厠笧粣萗廁惻測策萴筞筴蓛墄箣憡簎齰
CEN1    参參嵾
CEN2    岑梣涔笒硶
CEN5    岑参梣涔笒參硶嵾
CENG1   噌
CENG2   层曽曾層嶒橧竲驓
CENG4   蹭
CENG5   蹭
CHA1    叉扠扱芆杈肞差臿荖挿捈訍偛釵喳嗏插揷馇碴銟锸艖嚓鍤鎈餷
CHA2    叉秅垞查査茬茶梌嵖搽猹靫楂槎詧察摖碴褨檫
CHA3    叉衩蹅镲鑔
CHA4    叉仛奼汊岎岔杈侘刹衩诧剎姹差紁梌詫
CHA5    叉仛奼扠扱汊芆岎岔杈肞侘刹秅衩诧剎垞姹差查査紁臿茬茶荖挿捈訍偛梌釵喳嗏嵖插揷搽猹靫馇楂槎詧詫察摖碴褨銟锸艖蹅嚓鍤鎈餷檫镲鑔
CHAI1   扠拆钗差釵疀
CHAI2   犲侪柴祡豺喍儕齜
CHAI3   茝
CHAI4   差虿袃訍瘥蠆囆
CHAI5   扠犲侪拆钗差虿柴祡茝袃訍豺釵喍瘥儕疀蠆囆齜
CHAN1   辿佔觇梴脠袩掺搀覘裧鉆摻鋓幨襜襝嚵攙
CHAN2   辿苂单婵崭谗單孱棎湹禅馋嬋煘缠僝僤嶃嶄獑蝉誗鋋儃廛潹潺緾澶磛禪毚螹襌鄽镡瀍繟蟬儳劖繵蟾酁嚵壥巉瀺欃纏纒躔镵艬讒鑱饞
CHAN3   产刬旵丳斺浐剗谄啴產産铲阐蒇剷嵼摌榐滻嘽墠幝蕆諂閳骣燀簅冁繟醦譂鏟闡囅灛讇
CHAN4   忏刬剗硟裧摲幝幨燀懴襜儳颤懺羼韂顫讖
CHAN5   缠纏
CHANG1  伥昌倀娼淐猖菖阊晿琩裮锠錩閶鲳闛鯧鼚
CHANG2  长仧仩场兏肠苌長镸尝倘偿常徜瓺萇場棖脹甞腸嘗塲嫦裳瑺膓鋿償嚐蟐鲿鏛鱨
CHANG3  厂场昶惝場敞僘厰廠氅鋹
CHANG4  怅玚畅倡鬯唱悵焻瑒暢畼誯韔
CHANG5  厂长仧仩伥场兏怅玚肠苌昌畅長镸尝昶倀倘倡鬯偿唱娼常徜悵惝淐猖瓺菖萇阊場敞晿棖焻琩脹瑒甞腸裮锠僘厰嘗塲嫦暢畼裳廠瑺膓誯氅鋹鋿錩閶鲳償嚐蟐韔鲿鏛闛鯧鼚鱨
CHAO1   吵抄弨怊欩钞绰訬焯超鈔剿勦綤摷綽劋樔繛
CHAO2   牊晁巢巣朝鄛鼌漅嘲樔潮窲罺轈鼂謿
CHAO3   吵炒眧粆焣鈔煼麨趫巐
CHAO4   仦仯耖觘趠
CHAO5   吵
CHE1    车伡車俥砗唓莗硨蛼
CHE3    尺伬扯偖撦奲
CHE4    屮彻呫坼迠烢烲焎聅掣揊硩詀頙徹撤澈勶瞮謵爡
CHE5    扯
CHEN1   抻郴捵棽琛嗔綝瘨瞋諃賝縝謓
CHEN2   尘臣忱沉辰陈迧茞宸栕莀莐陳敐晨桭訦谌軙愖揨鈂煁蔯塵樄瘎霃螴諶薼麎曟鷐
CHEN3   趻硶碜墋夦磣踸鍖贂醦
CHEN4   衬疢秤称龀趁趂榇稱齓齔儭闖嚫谶櫬襯讖
CHEN5   伧衬傖碜磣襯
CHENG1  阷泟虰柽爯棦浾秤称偁蛏铛牚琤赪憆摚槍瑲稱靗噌撐撑緽橕橖瞠赬頳檉竀罉鎗穪蟶鏳鏿鐣饓鐺
CHENG2  氶丞成朾呈承枨诚郕乗城娍宬峸洆荿乘倀埕挰晟浧珹脀掁珵盛窚脭铖堘惩棖椉程筬絾裎塍塖溗碀誠畻酲鋮憕澂澄橙檙瀞鯎瀓懲騬
CHENG3  侱徎悜逞骋庱睈裎騁
CHENG4  爯秤称牚稱竀
CHENG5  承诚誠
CHI1    吃妛侙郗哧彨胵蚩鸱瓻眵笞粚脪蚳喫訵嗤媸摛痴絺摴樆噄殦瞝誺螭鴟鵄癡魑齝攡麶彲黐
CHI2    弛池驰坘迟坻岻沶泜狋祇茌迡持竾荎俿歭匙耛蚳赿筂貾軧遅誃趍遟馳箈箎墀徲漦蝭踟遲篪踶謘鍉謻邌
CHI3    尺叺扡呎肔侈卶齿哆垑拸胣恥耻蚇袳豉欼袲裭誀鉹褫齒
CHI4    彳叱斥杘灻赤饬呬抶迣勅恜柅炽剟勑捇眙翄翅卙敕烾痓啻湁訵跅飭傺痸腟趐跮鉓雴憏瘈翤遫銐慗慸瘛翨鳷熾懘糦趩鵣饎鶒騺鷘
CHI5    彳尺叱叺斥吃弛扡池驰呎坘妛杘灻肔赤迟饬侈侙卶呬坻岻抶沶泜狋祇茌迡迣齿勅哆垑恜拸持柅炽竾胣荎郗俿剟勑哧彨恥捇歭眙翄翅耻胵蚇蚩鸱匙卙敕烾瓻痓眵笞粚耛脪蚳袳豉赿啻喫欼湁筂袲訵貾跅軧遅飭傺嗤媸摛痴痸絺腟裭誀誃趍趐跮遟鉓雴馳憏摴樆瘈箈箎翤遫鉹銐噄墀徲慗慸殦漦瘛瞝翨蝭褫誺踟遲鳷齒熾篪螭踶鴟謘鍉鵄懘糦謻趩邌鵣癡魑饎鶒齝攡騺麶彲鷘黐
CHONG1  充冲忡沖祌茺浺涌珫翀舂傭嘃摏褈徸憃憧樁衝罿艟蹖
CHONG2  虫种重崇崈痋隀漴褈緟蝩蟲爞
CHONG3  宠埫喠揰衝寵
CHONG4  冲沖铳銃衝蹱
CHONG5  虫蟲
CHOU1   抽牰眣紬搊跾瘳篘醔謅犨犫
CHOU2   仇怞俦诪帱栦惆畤绸菗椆畴絒愁皗稠筹裯詶酧酬綢踌儔雔鮘嚋嬦幬懤盩薵鯈檮燽雠疇籌譸躊醻讎讐
CHOU3   丑吜杻杽侴偢瞅醜矁魗
CHOU4   臭臰遚殠
CHOU5   酬
CHU1    出岀初摢摴樗貙齣
CHU2    刍除芻耝厨滁蒢豠锄媰耡蒭蜍趎跦鉏雏犓蕏廚篨鋤橱懨幮藸躇雛櫥蹰蠩鶵躕
CHU3    処处杵础椘處储楮楚褚濋儲檚璴礎齭齼
CHU4    亍処处竌怵拀绌豖欪炪竐俶敊畜埱珿絀處觕傗琡詘鄐慉搐滀蓫触槒踀閦儊嘼諔憷斶歜臅黜觸矗鸀
CHU5    出处處
CHUAI1  揣搋
CHUAI3  揣
CHUAI4  啜揣欼嘬膪踹
CHUAI5  啜揣欼搋嘬膗膪踹
CHUAN1  巛川氚穿剶釧猭
CHUAN2  传舡舩船圌遄傳椽歂瑏暷篅膞輲
CHUAN3  舛荈喘堾歂僢踳
CHUAN4  汌串玔钏釧猭賗鶨
CHUAN5  巛川传汌舛串氚玔钏穿舡荈舩剶船釧喘圌堾猭遄傳椽歂瑏僢賗暷篅膞踳輲鶨
CHUANG1 刅创囪疮窓創窗牎摐蔥牕瘡窻
CHUANG2 床牀噇幢朣橦膧
CHUANG3 闯傸愴漺磢闖
CHUANG4 仺创怆刱剏倉剙創愴
CHUANG5 刅仺创闯囪床怆刱牀剏疮倉剙窓創窗傸愴牎摐漺蔥噇幢牕瘡朣橦磢窻膧闖
CHUI1   吹炊龡
CHUI2   垂倕埀桘陲捶菙圌搥棰椎腄槌锤磓箠錘鎚顀鬌
CHUI5   吹垂炊倕埀桘陲捶菙圌搥棰椎腄槌锤磓箠錘鎚顀鬌龡
CHUN1   芚旾杶春萅堾媋暙椿槆瑃箺蝽橁輴櫄鰆鶞
CHUN2   纯陙唇浱純莼淳脣湻犉滣蒓鹑漘蓴醇醕錞鯙鶉
CHUN3   偆萶惷僢睶賰踳蠢
CHUN5   纯芚旾杶春陙唇浱純莼偆淳脣萅堾媋湻犉萶惷暙椿槆滣瑃蒓鹑僢漘睶蓴箺蝽醇橁賰踳輴醕錞櫄鯙鶉鰆鶞蠢
CHUO1   逴踔戳
CHUO4   辵娕娖啜婥婼惙涰绰缀腏辍酫綴綽趠輟鋜龊擉磭錣镞繛歠鏃嚽齪鑡齱
CHUO5   绰綽
CI1     刺呰呲姕差玼疵趀偨啙嵳粢跐縒骴髊蠀齹
CI2     词珁兹垐枱柌祠茈茨茲荠堲玆瓷萕胔詞辝慈甆辞鈶磁雌鹚糍辤飺餈嬨濨薋薺鴜礠辭鶿鷀
CI3     此佌泚玼皉跐鮆
CI4     朿次伺佽刺刾庛茦栜栨厠莿廁絘蛓赐螆賜
CI5     朿次此伺词佌佽刺刾珁兹呰呲垐姕差庛枱柌泚祠茈茦茨茲荠堲栜栨玆玼瓷厠疵皉莿萕趀偨啙嵳廁粢絘胔蛓詞赐辝慈甆跐辞鈶磁雌鹚糍縒螆賜辤飺餈骴嬨濨薋薺鮆鴜礠髊蠀辭鶿鷀齹
CONG1   匆囪囱苁忩枞茐怱悤棇焧葱楤漗聡蓯蔥骢暰樅樬熜瑽璁緫聦聪燪瞛篵聰蟌謥繱鏦騘驄
CONG2   从丛従婃孮徖從悰淙琮碂慒漎潀潈潨誴賨賩樷藂叢灇欉爜
CONG5   从丛匆囪囱苁忩枞茐怱従婃孮徖從悤悰淙愡棇焧琮葱楤碂慒憁漎漗潀潈聡蓯蔥骢暰樅樬潨熜瑽璁緫聦聪誴賨賩樷燪瞛篵聰藂蟌叢謥繱鏦騘灇驄欉爜
COU4    凑湊楱腠辏輳
COU5    凑湊楱腠辏輳
CU1     粗觕麁蔍麄麆麤
CU2     徂殂蔖
CU4     卆卒促娕娖捽猝脨媨酢瘄蔟誎趗踀噈憱踓踤踧醋瘯趥錯簇縬趨蹙鼀蹴蹵顣
CU5     卆卒徂促殂娕娖捽猝粗脨觕媨酢瘄麁蔍蔖蔟誎趗踀噈憱踓踤踧醋麄瘯趥錯麆簇縬趨蹙鼀蹴蹵顣麤
CUAN1   汆撺鋑镩竄蹿攛躥鑹
CUAN2   菆攅攒櫕巑攢欑穳襸
CUAN4   窜熶篡殩簒竄鑹爨
CUAN5   汆菆窜撺鋑熶篡殩簒镩攅竄攒櫕蹿攛巑攢欑穳襸躥鑹爨
CUI1    隹衰崔催凗缞墔嶉慛摧榱槯漼獕磪縗鏙
CUI3    漼熣璀趡皠繀
CUI4    伜忰疩倅粋紣翆脃脆啐啛崒悴淬萃椊毳焠琗脺瘁粹綷翠膵膬濢竁襊顇臎
CUI5    伜忰隹疩倅粋紣翆脃脆衰啐啛崒崔悴淬萃椊毳焠琗脺催凗瘁缞墔嶉慛摧榱槯漼獕粹綷翠熣璀膵趡皠磪縗膬濢竁繀襊顇臎鏙
CUN1    邨村皴踆墫澊竴膥
CUN2    存侟拵洊澊蹲
CUN3    刌忖
CUN4    寸吋籿
CUN5    寸
CUO1    搓瑳遳磋撮蹉醝襊髊
CUO2    虘嵯嵳痤睉矬蒫瘥蔖澨鹾鄼酂鹺酇齹躦
CUO3    脞醝
CUO4    剉剒厝夎挫莝莡措逪棤锉蓌错縒銼錯
CUO5    剉剒厝夎挫莝莡措脞虘逪嵯嵳搓棤痤睉矬蒫锉瑳蓌遳错瘥磋蔖撮縒銼澨蹉醝錯鹾襊鄼酂髊鹺酇齹躦
DA1     咑哒垯耷畣笚搭答嗒褡噠墶撘鎝
DA2     打达迏迖迚呾妲怛沓炟羍荅荙畗剳匒笪逹溚答詚達跶瘩靼墶憚薘鞑繨蟽鎉躂鐽韃龖龘
DA3     打
DA4     大亣汏眔
DA5     大打达疸塔搭達嗒跶瘩躂
DAI1    呆呔待獃懛
DAI3    歹逮傣
DAI4    大代汏诒轪侢垈岱帒甙绐迨骀带待怠柋殆玳贷帯軑埭帶紿蚮袋軚逮詒貸軩瑇跢廗箉蔕叇曃緿蝳駘鴏戴艜螮黛簤蹛瀻霴襶黱靆
DAI5    怠袋
DAN1    亻卩丹妉单担瓭単眈砃耼耽郸聃躭酖單媅愖殚覘瘅匰箪鄲頕儋勯噡擔殫癉襌簞襜聸
DAN3    伔刐抌玬瓭胆衴疸紞掸單赕亶馾撢撣賧擔澸燀黕膽黮黵
DAN4    旦石但帎担沊泹狚诞柦倓疍訑啖啗弹惔惮淡萏蛋啿氮腅蜑觛亶瘅窞蓞誕僤噉馾髧嘾彈憚撢撣醈憺擔澹禫餤駳鴠甔癉癚嚪繵蟺譂贉霮饏
DAN5    担擔
DANG1   当档珰裆铛筜當儅噹澢檔璫襠簹艡蟷鐺
DANG3   挡党谠擋檔譡黨攩灙欓讜
DANG4   氹凼圵当宕砀垱挡荡档偒菪婸崵愓瓽逿嵣當雼潒碭儅瞊蕩趤噹壋擋燙檔璗盪礑簜蘯譡闣讜
DANG5   当荡铛當蕩鐺
DAO1    刀叨忉朷氘舠虭釖鱽道裯魛
DAO2    叨捯
DAO3    导岛陦倒島捣捯祷菿禂搗隝嶋嶌導隯壔嶹擣蹈禱
DAO4    到倒帱悼焘盗菿盜絩道稲箌翢噵稻艔衜儔檤衟幬燾翿軇瓙纛
DAO5    叨捣道搗
DE1     嘚
DE2     恴得淂悳惪棏锝徳德鍀
DE5     地底的得脦
DEI1    嘚
DEI3    得
DEI5    得嘚
DENG1   灯登豋僜噔墱嬁澄燈璒瞪竳簦艠覴蹬鐙
DENG3   等戥
DENG4   邓凳鄧隥墱嶝澂澄瞪磴镫櫈蹬鐙
DENG5   登蹬
DI1     氐仾低奃彽牴袛啲埞羝隄堤提渧趆嘀滴碮镝磾鍉鞮鏑
DI2     扚廸狄肑的籴苖迪唙敌浟涤荻梑笛觌靮滌馰髢嘀嫡翟蔋蔐頔魡敵樀踧篴镝儥嚁藋藡櫂豴蹢鏑糴覿鸐
DI3     氐厎坘诋邸阺呧坻底弤抵拞泜柢牴砥掋菧觝詆軧楴聜骶
DI4     弔地弚坔弟旳杕玓怟枤的苐俤哋帝埊娣递逓偙啇掋梊焍珶眱祶第菂谛赿釱媂揥棣渧睇缔蒂僀禘腣遞鉪墆墑墬嵽摕疐碲蔕蝃遰慸甋締髰嶳諟諦踶螮蹏鬄
DI5     地弟的滴
DIA3    嗲
DIA5    嗲
DIAN1   敁掂傎厧詀嵮滇槇槙瘨颠蹎巅顚顛癫巓巔攧癲齻
DIAN3   丶典奌点婰敟椣痶碘蒧蕇踮點嚸
DIAN4   电佃甸阽坫店垫扂玷钿唸婝惦淀奠琔腍殿蜔鈿電墊頕壂橂橝澱靛磹癜簟驔
DIAN5   点點
DIAO1   刁叼汈刟矵虭凋奝弴彫淍蛁琱貂軺颩碉鳭瞗錭雕鮉鲷鼦鯛鵰
DIAO3   鸟扚屌鳥鸼鵃
DIAO4   弔伄吊钓窎訋调掉釣铞铫絩罀鈟竨蓧誂趙銚銱雿魡調瘹窵鋽嬥藋鑃
DIAO5   调調
DIE1    爹跌踮蹛
DIE2    怢泆苵迭咥垤峌恎挕昳柣绖胅瓞眣耊啑戜谍喋堞崼惵揲絰耋臷詄趃跕叠楪殜牃牒跮镻嵽碟蜨褋槢艓蝶諜蹀螲褺鮙鲽鞢曡鐡鰈疉疊氎
DIE5    怢泆苵迭咥垤峌恎挕昳柣绖胅爹瓞眣耊啑戜眰谍喋堞崼惵揲絰耋臷詄趃跌跕叠楪殜牃牒跮镻嵽碟蜨褋槢艓蝶踮諜蹀螲褺鮙鲽蹛鞢曡鐡鰈疉疊氎
DING1   丁亇仃叮奵帄玎町疔盯钉耵虰酊釘靪
DING3   奵艼顶酊頂鼎嵿鼑濎薡顁鐤
DING4   订忊饤矴钉定訂釘飣啶掟萣铤椗腚碇锭碠蝊鋌錠磸顁
DING5   丁钉釘
DIU1    丟丢铥颩銩
DIU5    丟丢铥颩銩
DONG1   夂东冬咚岽東苳昸氡倲鸫埬娻崠崬涷笗菄徚氭蝀鮗鼕鯟鶇
DONG3   揰湩董墥嬞懂箽蕫諌
DONG4   动冻侗垌姛峒峝恫挏栋洞狫胨迵倲凍戙烔胴動娻崠硐棟湩絧腖衕働詷勭駧霘騆
DONG5   夂东冬动冻侗咚岽東苳垌姛峒峝恫挏昸栋氡洞狫胨迵倲凍戙烔胴鸫動埬娻崠崬涷硐笗菄徚揰棟氭湩絧腖董衕働詷勭蝀墥嬞懂箽蕫諌駧鮗霘騆鼕鯟鶇
DOU1    吺侸剅唗都兜兠蔸橷瞗篼
DOU3    斗阧抖枓钭陡蚪鈄
DOU4    斗豆郖浢荳读逗饾鬥梪毭脰酘痘閗窦鬦鋀餖凟斣瀆闘竇鬪讀鬬鬭
DOU5    斗
DU1     厾剢都阇嘟督醏闍
DU2     毒独读顿渎椟牍犊頓裻樚蝳獨錖凟匵嬻瀆襡櫝殰牘犢瓄皾竇襩騳黩讀豄贕韣髑鑟韇韥黷讟
DU3     厾肚笃陼堵帾暏琽赌睹锗覩賭篤鍺
DU4     芏妒杜肚妬度荰剫秺晵渡靯詫镀螙斁殬鍍蠧蠹
DU5     肚度督
DUAN1   耑偳剬媏端褍篅鍴
DUAN3   短
DUAN4   段断塅缎葮椴煅瑖腶碫锻緞縀毈簖鍛斷躖籪
