a 嗄啊錒锕吖呵阿腌
cha 嵖挿褨嚓奼差衩鑔碴茬荖芆汊诧叉鎈銟摖镲猹槎姹岔扠楂靫紁锸仛蹅侘餷喳馇詧揷剎査查搽杈肞檫鍤察插釵扱垞嗏捈偛訍刹茶艖岎梌臿詫秅
chai 釵瘥袃齜差疀犲蠆侪訍祡囆喍虿儕扠拆茝柴钗豺
chan 嚵鉆繵剷苂嶄阐觇纒螹冁骣饞馋嵼僤閳獑潺劖壥墠缠颤鏟剗蕆巉浐澶崭瀍簅覘禅毚譂蒇硟梴躔儃蟬脠醦旵鄽榐掺铲佔禪潹蟾闡襌囅忏刬丳僝滻欃煘孱单襝艬産單谗斺磛讇羼搀婵镵產酁摲鋋袩摻韂瀺幨湹嘽讒鋓谄懺廛啴幝懴讖嶃产灛摌辿嬋顫鑱誗蝉緾儳燀繟諂襜棎裧纏镡攙
chang 倘昌焻暢嫦腸徜怅敞场仧常鼚鱨鲳誯長玚阊晿伥闛廠甞鋹淐錩鲿惝兏萇昶琩韔膓仩脹镸娼鋿菖瓺猖倡畅瑒厰倀鬯償場裳氅裮嘗长肠畼蟐鯧瑺悵鏛尝偿锠厂棖唱塲僘閶嚐苌
chao 绰超煼轈罺潮勦繛趫焯訬樔謿焣钞朝麨綤嘲抄弨漅趠粆鄛晁仯巢怊綽巐巣摷牊炒眧吵觘劋耖窲仦鈔鼂剿鼌欩
che 伡俥撤呫烲徹坼澈謵偖奲唓爡掣屮撦烢聅勶蛼頙砗伬迠扯莗焎硩瞮詀車揊彻硨尺车
chen 稱疢晨硶棽伧揨鷐齔綝莀儭煁谶謓宸趁尘莐襯称瘨軙陳螴諶塵榇捵茞霃薼曟醦秤敐陈忱栕趂齓抻碜趻贂傖訦辰闖迧愖瘎縝麎墋谌蔯夦樄諃磣瞋桭嗔嚫讖鈂琛沉賝衬踸櫬臣鍖龀郴
cheng 稱赬檉堘诚騁鯎摚荿骋偁鐺瞠竀泟撐掁懲罉鏳侱铖撑蛏碀称宬緽娍塖珹承瑲埕珵柽赪橖丞睈浧朾城氶澂窚憆秤棦筬浾酲牚铛橙乘琤橕絾畻鐣饓惩挰頳倀庱悜澄逞檙塍憕瀓徎裎洆鏿誠峸脭槍程鋮蟶噌椉穪脀爯鎗阷瀞枨盛溗成靗棖呈虰郕騬乗晟
chi 杘漦坘哆侈迡鳷踶箎赿歭麶糦貾弛遟灻慸齒鸱彨攡翄謻欼荎彲侙飭誺叱蚳沶痴笞褫粚馳墀憏叺泜蚇剟脪騺垑懘徲螭抶妛池癡踟匙傺遫鷘鴟銐瘛卶竾黐袲烾跮饬捇跅哧持篪腟呬胵誀肔翅啻彳謘噄鉓摛趍斥呎殦胣熾赤袳蚩痓耻雴迟嗤絺訵趐邌鵄岻卙箈遲俿耛趩尺瞝茌筂驰喫鍉郗樆拸炽翤齿瓻眵遅湁恜瘈眙鉹豉狋慗坻勅痸翨摴魑鶒柅勑迣齝敕軧恥蝭鵣誃媸裭祇吃扡饎
chong 冲珫蹱铳舂痋憃憧揰崇宠緟茺崈嘃徸蹖涌衝蟲充艟沖种蝩銃隀爞摏罿忡漴重寵虫祌傭喠樁浺埫翀褈
chou 杽盩讐紬鯈杻絒瞅醜矁牰疇酧儔鮘跾仇犫嬦酬殠躊臰诪詶嚋丑篘筹绸遚譸椆搊惆裯吜稠籌俦懤薵畤愁瘳畴讎臭偢侴綢栦抽踌幬檮眣皗帱怞醔雠犨燽菗謅醻魗雔
chu 豠黜耝褚犓敊斶觕芻耡杵鉏絀藸处詘諔橱櫥濋觸篨俶拀雏触樗础槒齼刍傗幮蠩嘼炪储锄蕏畜埱摢貙媰蒭齭欪儲珿處琡蒢躕処亍蓫怵躇儊歜璴楮鄐滀竌踀懨蹰竐搐鋤雛鶵椘豖滁蜍臅齣楚憷摴绌檚岀閦廚初除趎厨跦出礎矗慉鸀
chuai 踹欼啜膗嘬膪搋揣
chuan 遄舩氚舛穿剶輲钏篅串踳暷巛釧膞鶨喘舡汌船传傳椽猭瑏荈賗川歂堾玔僢圌
chuang 闖蔥瘡漺窓刱噇疮床囪牎磢刅傸怆倉窗创牕愴幢剏摐朣創剙牀窻橦闯膧仺
chui 锤槌菙鬌捶陲搥腄桘炊箠倕鎚椎棰顀埀磓龡錘吹垂圌
chun 鯙賰芚莼鶉蓴櫄醕唇湻惷杶萅暙陙漘旾蒓浱纯萶槆純鶞脣春醇媋偆踳箺睶瑃輴蝽橁滣鹑錞鰆堾犉淳蠢僢椿
chuo 绰婼綴啜镞戳繛齱鏃酫錣娖齪龊趠歠涰娕辵擉鑡逴鋜磭綽惙婥辍嚽缀腏輟踔
ci 粢薺兹廁差辭髊縒姕餈栜瓷偨皉庛辤雌疵茈薋茨此栨胔珁玆磁佽蛓鈶堲糍朿趀濨茦枱玼荠鶿赐词礠跐厠絘嬨茲鷀鴜次螆佌泚鮆刾齹萕呰慈呲鹚辝伺祠莿辞甆柌刺嵳啙詞骴蠀飺垐賜
cong 從謥茐蔥从楤蟌欉潀漗潨漎賨樅碂憁樬淙聡棇葱爜囱賩藂灇徖騘鏦緫叢瞛骢燪潈丛焧孮囪聰苁蓯聦枞忩暰琮璁婃樷繱怱悤悰匆愡聪熜篵驄瑽慒誴従
cou 辏湊凑輳腠楱
cu 促卒猝縬趥瘄趗麤觕醋顣脨踧瘯酢粗娖踀麄麁噈卆蹵蔍誎娕媨鼀簇踤憱踓趨殂蔖蔟捽麆蹙錯徂蹴
cuan 篡巑菆躥櫕爨蹿鋑熶撺穳攢攅镩襸窜殩鑹竄攒汆簒攛欑
cui 忰槯脺獕粋啐膬慛瘁崒綷伜缞膵脆顇縗濢紣摧翠趡凗璀竁嶉疩漼熣繀脃粹隹崔皠襊榱鏙椊啛毳墔磪催悴琗淬萃倅衰焠臎翆
cun 寸村蹲洊侟忖皴膥吋拵邨竴刌存澊籿踆墫
cuo 瘥措厝髊縒剉挫痤错醝磋蓌虘蒫蔖遳蹉錯剒撮鄼銼襊锉躦睉瑳酇莝夎齹矬澨逪嵯酂鹺鹾莡嵳搓棤脞
da 撘跶詚瘩逹溚靼荙鐽耷躂鎝褡笪笚沓匒墶迖妲薘憚畗汏鎉亣繨龖塔蟽鞑韃炟垯龘大达畣答荅噠迚怛疸迏達打剳搭咑哒羍呾眔嗒
dai 懛蚮蹛簤歹軚鴏侢迨轪軩軑诒瑇甙廗贷岱帒詒螮汏黛戴艜怠待代带傣柋緿跢黱靆貸呆大獃霴駘瀻埭呔蝳绐逮玳曃殆帯骀帶叇紿袋蔕箉垈襶
dan 帎繵眈酖倓澸泹擔啖匰亶憺淡馾餤儋僤啗饏誕石疍郸醈膽诞澹赕胆但嘾覘媅担頕簞譂駳耼弹旦髧霮妉沊単聸亻黕撣卩丹噉掸襌耽嚪躭抌惔噡窞蟺腅蓞单愖紞撢蜑單鴠惮聃黵殫彈憚伔殚箪賧蛋狚瓭甔勯訑啿贉癚萏鄲黮觛砃疸刐燀癉柦瘅氮襜禫衴玬
dang 蕩珰嵣潒燙檔簜筜澢当讜裆擋婸趤鐺愓偒圵氹盪挡谠當簹瞊党礑菪档闣荡碭蘯黨欓逿崵璫譡璗宕雼儅灙艡蟷噹凼襠铛攩壋瓽垱砀
dao 舠稲隯禂悼到捯捣衟鱽魛道忉叨岛菿導壔禱箌儔燾噵艔嶹盜嶋幬嶌翿稻翢虭氘陦蹈帱导軇纛島朷釖瓙擣祷裯絩焘倒搗檤隝刀盗衜
de 嘚地恴脦的锝徳底得淂惪悳鍀德棏
dei 嘚得
deng 鐙燈噔镫隥豋凳澂蹬磴戥艠璒澄等嶝櫈僜灯竳登簦邓墱鄧嬁瞪覴
di 拞嶳坘蔋禘踶苐赿糴櫂踧鉪慸底骶祶頔媂墆樀涤廸弤梊疐砥偙梑坔埞逓泜僀诋弚娣笛第递谛籴棣嘀甋埊儥觝翟狄鬄扚蒂藋掋苖釱魡玓旳渧羝堤敵碲唙詆抵菂牴鞮腣隄提馰眱帝揥厎浟镝蹢枤墑嚁楴地諟低螮遰髢滴的啲鸐仾杕氐哋焍墬呧荻弔肑嫡髰啇怟鍉豴諦袛嵽藡邸阺弟彽蝃迪菧遞觌篴珶摕覿聜奃磾坻蹏柢睇俤軧蔐鏑滌敌蔕碮趆締靮缔
dia 嗲
dian 蕇傎壂電槙痶滇店嚸鈿惦电槇坫顛碘掂瘨唸婰椣敟巓蹎典頕癫奌丶攧詀癲驔扂玷橂癜厧嵮淀钿垫墊巔澱琔靛磹簟蒧巅殿齻点佃顚腍點踮颠甸橝奠阽婝敁蜔
diao 碉蓧鈟銱雕鯛矵鮉竨鲷鸼吊雿凋鑃刟颩扚貂钓屌调訋藋虭蛁鸟窎弴軺魡铫誂琱窵铞伄淍刁錭鳭趙調汈銚奝鵃絩釣罀鼦嬥鋽瞗鳥彫弔鵰叼瘹掉
die 怢蹛挕揲恎昳蹀氎戜崼跌諜鞢鐡曡峌楪詄螲疉迭鮙蝶牒耋喋咥叠胅惵絰垤瓞槢绖嵽碟鲽褺殜爹镻堞耊趃眣艓蜨牃疊跮谍跕踮鰈苵泆啑臷褋眰柣
ding 濎碠飣钉錠嵿薡頂鐤町艼订奵椗萣饤仃铤掟顁矴鼎腚叮玎顶碇忊蝊釘啶磸帄鋌訂鼑耵酊疔亇靪锭虰丁盯定
diu 铥銩颩丟丢
dong 胴峒諌夂棟騆咚鶇鸫娻蕫腖董东烔狫崠冻冬埬鼕挏倲詷東迵崬鯟岽垌衕駧氡蝀峝働懂氭揰硐嬞湩箽戙凍涷恫动菄昸姛絧墥勭侗洞胨鮗徚苳動栋霘笗
dou 蚪瀆都逗窦脰篼剅侸斗痘吺鬬蔸餖毭读钭鬪讀兠闘竇郖鬦陡浢阧抖鋀荳饾凟枓唗酘兜瞗鬥鬭豆閗鈄斣梪橷
du 髑都匵贕瓄櫝樚荰襩睹豄蠧芏嬻醏竇督渎厾韇襡黩闍晵獨賭妬独琽皾覩渡螙阇妒韥瀆騳毒韣鑟帾斁陼赌犢剢鍺顿裻鍍堵讟讀读靯椟肚牍度殬剫笃錖嘟殰杜秺頓暏蝳篤凟牘蠹黷詫犊镀锗
duan 耑端躖褍縀腶偳媏塅篅簖煅短剬缎斷锻段葮毈鍛碫緞籪断鍴瑖椴
dui 譵對痽陮敦碓憞憝鴭薱懟兑鐜搥兌頧杸濻垖鎚鐓塠对磓瀢隊譈队奪錞嵟瀩怼濧堆镦祋綐兊埻
dun 壿蹲敦橔忳炖趸躉撴遯沌逇遁墪蹾鐓囤砘庉鈍撉腯坉镦楯盹礅憞獤伅踲顿蜳墩潡鐜燉犜噸钝頓惇腞吨碷驐盾
duo 挅挆軃哆朵枤跿夺柮鬌裰敚敠垜咄椯踱陏埵鮵垛馱跥飿刴喥墯吋缍杕嚉亸哚媠茤趓柁尮桗剟貀柂跺綞墮铎奲痥剁朶多夛敓驮陊饳崜度鐸沱嶞剫敪嫷躱惰跢沰掇駄鄲鵽舵憜奪躲堕毲詑嚲凙隓
e 扼讍磀阸詻覨訛鵝搕噁妸埡椏櫮蚅唖砵皒卾堨砨鵞呃囮蝁啞迗砈惡垭谔廅俄餩峉顎哑娿擜額遏珴哦莪屙頟騀愕婀苊頞鑩蕚硆咹吪湂腭讹諤佮鰪堮垩鈪鄂軛厄阏呝咢偔鶚饿砐崿豟涐鳄搹閜魥萼堊悪歞齃鹅颚锷妿餓锇鈋姶娾魤娥恶閼琧戹噩鍔譌鹗敋遌鱷啈齶齾阨僫歺岋阿鰐屵睋遻峩鴳枙軶搤誐蘁轭峨匎蛾鋨额
en 奀蒽恩摁峎嗯唔煾
er 尔駬佴輀陑珥衈聏兒尓嬭貳貮鸸迩薾弍樲铒鮞邇耏陾栭胹尒趰贰饵刵爾而峏二耳袻荋髶洏儿髵鲕栮餌鴯洱毦鉺児唲轜隭咡誀侕
fa 貶垡栰乏發阀彂撥汎髮笩罰酦茷罚髪砝橃琺珐瞂蕟姂灋法沷醱筏发鍅疺罸傠閥藅伐廢佱
fan 旙返颿舩渢橎舧瀿籵畨飜薠飯楓訉忛番鱕翻婏釩襎旛范嬔軬氾墦犿钒蕃鐇饭匥緐仮畈犯柉範勫烦販反樊笵奿帆泛飰藩攵舤蹯蘩払汎繙繁凡噃籓犭凣贩棥嬎杋鷭幡煩膰矾礬蠜盕嬏笲凢滼軓梵羳憣轓璠燔瀪
fang 紡牥匚放仿舫纺彷淓防钫妨鴋芳髣倣方瓬访趽眪堏徬埅訪枋眆邡昘鲂旊鶭肪祊房魴昉蚄鈁坊
fei 靅非猆棐啡蟦笰靟霏朏蕡暃鯡狒鲱屝誹沸婓斐紼妃蕟鼥废飝萉肥廢裵鼣绯匪悱陫肺疿蜰厞騑剕曊餥緋扉裶婔奜吠費诽腓镄鐨襏费髴榧馡橃翡飞昲蕜淝柹芾濷篚俷癈胇飛蜚騛菲胐櫠墢杮渄痱
fen 膹轒雰瞓忿棼馩蒶羒奋棻鼢幩奮肦妢蕡鲼朌頒糞蚡燓燌僨吩翂饙酚粉弅汾魵炃衯氛愤砏豮昐帉粪梤訜坋紛錀兝竕葐枌份坟憤蚠朆濆獖颁焚豶餴瀵鐼黺纷分芬羵鱝坆鈖馚隫橨黂鼖秎鳻偾岎墳玢
feng 煈偑峰渢鏠賵封凮崶砜漨麷靊篈碸夆疯鳳锋楓烽摓豊峯寷湗縫綘仹枫俸沣盽浲艂僼凤犎缝葑肨赗馮埄酆諷冯沨鴌妦檒瘋焨鋒溄捀熢唪桻蘴鄷豐琒舽灃风飌丰鎽風莑蜂讽炐猦堸覂奉凨蠭鳯凬逢甮
fo 仸仏坲佛
fou 妚炰雬缻紑缹鴀缶芣否
fu 匐甶涪苻綍邚玸癁盙蚥栿紨炥笰鉜乀負浮鳆婏夫鰒弣酻驸蛗虙袝鳧姇茀枎乁媍颫滏椨襥符莩葍鵩豧帗洑脯府棴懯筟糐偩附撫鍢簠衭頫跗鈇蓲福彿鲋蚹鮲韍襆酜縛翇菔甫紱袱腐阜鳺褔麩副玞荴桴箁拂坿俯艴颰諨傅怤鉘畐沕韛垺郛黻斧敷澓娐椱绋尃幞畉萯蝮捬訃婦鴔趺覆付鮄秿岪芣鬴呋祓報踾烰孚嘸復絥负哹佛祔冨刜罘垘輹咐畗巿禣蝜粰腑鶝鮒紼伏偪缚邞枹陚賦复捊父釜麱蜅幅稃砩稪釡麸俘拊黼芙柎蜉弗服扶蚨覄韨賻妋荂绂麬赋肤茯抚郙馥怫琈複袚軵詂費俛伕鄜赴輻辐髴讣氟妇俌鳬焤璷膚榑柫鍑赙旉輔芾艀蕧咈砆辅緮汱駙腹冹竎凫蝠孵泭箙富胕綒罦峊
ga 胳釓尬钆夹噶錷嘠軋伽尕咖呷夾旮嘎尜魀轧玍
gai 荄匃絯漑赅槪盖改畡丐該忋钙鈣槩摡隑乢瓂豥姟概祴賅峐賌晐该溉垓蓋芥葢陔戤杚鎅侅匄郂絠
gan 玕趕攼詌盰玵疳泔坩干秆赣皯苷榦肝迀倝乹粓淦骭佄扞稈鰔尷亁甘柑尲忓仠豃篢矸簳酐乾绀灨贑赶鱤檊虷桿尶汵釬尴敢魐擀筸感漧鳡凎杆旰芉衦紺橄凲鳱笴贛幹澉竿
gang 扛綱港掆焵剛戆杠冮矼頏肛阬缸戇溝牨纲鎠釭戅冈焹罓岡颃岗筻槓罁堈犅刚罡碙堽鋼疘棡崗犺钢
gao 皐缟誥皋高臯吿镐锆羙藳峼羔澔韟诰獔暠槁杲祮鷎餻夰縞鷱勂糕槹橰髙稁槔櫜鼛睪稾槀祰告藁禞郜鋯菒膏鎬睾檺搞稿篙筶滜
ge 猲胳屹阁鴿滆佫戓輵铬咯哿各吤韐閤袼韚歌鲄扢鞷戨圪哥鸽纥牱擱挌犵硌舸戈謌嗝滒杚膈格臵隔觡閣鮯魺镉槅疙騔秴革骼搿呄搁諽敋愅轕裓盖鎶詥肐茖鵅鎘箇鴐仡臈颌个蛒鴚合牫匌個櫊葛虼蓋割嘅鞈頜佮鮥嗰鰪蛤獦塥鬲鉻紇
gei 给給
gen 茛根揯亘跟搄哏艮亙
geng 耿鶊焿掶更埂賡邢鹒绠恆頸梗颈綆緪暅菮赓絙挭哽縆畊郠羹堩亙骾椩莄鯁庚絚刯羮鲠耕浭峺
gong 匔羾肱恭嗊贑龏栱魟躳廾贡拱慐拲公厷糼弓熕蚣塨龚兣銾愩宮龔渱碽鞏輁觥供宫觵红髸巩紅躬攻杛共珙匑工篢汞贛貢功唝幊
gou 鈎苟撀勾耉垢冓構褠遘緱溝钩韝佝耈鞲岣軥詬彀购玽笱抅沟坸媾诟鉤芶狗訽姤夠茩覯簼构耇雊枸傋蚼够袧觏煹句缑豿篝購搆
gu 牿堌稒盬顾钴軱蓇唃嗗呱皼棝錮骨鈷扢賈咕夃沽汩榾唂鹘鮕贾鶻穀蛊榖鵠鈲轂啒鹄詁箛傦崓毂薣軲雇辜橭股酤鼔菇家羖鲴蛄抇硲瀔罟故臌固崮凅鴣焸孤轱嗀姑箍痼笟估谷苽鼓皷诂嘏泒怘牯縎淈祻罛蠱愲篐梏觚鸪僱鯝蛌馉柧菰濲頋嫴尳顧古餶瞽锢
gua 劀騧诖啩焻詿踻褂挂栝坬呱諣銛苽歄叧胍刮鴰煱鸹寡铦掛銽罣括冎颳絓罫緺趏剮剐卦瓜
guai 乖夬罫掴噲柺恠摑枴拐怪箉叏
guan 棺爟涫館矝掼管蒄贯官鱞冠祼罐貫癏鳏鏆關觀盥丱婠泴懽琯莞灌鑵痯淉鱹遦慣鸛瓘罆卝摜躀関筦礶覌瘝綸悺璭惯闗錧鹳矔観悹雚纶舘观关樌倌窤輨潅毌馆鳤萖鰥
guang 僙胱光俇侊烡洸灮垙挄廣桄炛臦茪迋獷趪咣逛炚撗輄櫎犷炗广銧珖姯黆硄臩
gui 椝嶲祪昋敮規茥巂瞆攱垝槼姽龟媯趹閨诡妫鬹嶡嫢佹瞡槶陒鲑劌刽簋膭繪傀匭庪桂貴癐珪瞶蓕皈鳜鴂廆厬硅槻鱖禬归襘鞼摫猤溎晷螝筀槣氿撌邽硊櫰圭鳺蛫柜璝炅鮭刿嬀匦赽郌劊胿潙軌椢櫃鱥湀朹歸桧规鴃鬼炔竃贵鬶帰瓌騩匱庋闺跪瑰雟蟡轨宄簂袿檜恑龜亀窐詭觤癸攰櫷
gun 绲蔉袞謴睴惃衮鯀棞緄鮌璭錕輥滚琯睔滾辊緷蓘磙鲧裷棍
guo 彍帼呙菓聝咼瘑虢馘渦輠敋腂腘埚惈啯国慖綶圀矌裹鐹蔮蜾囶粿猓椁濄囯餜槨幗嘓過鍋锅蝈郭墎彉聒膕涡楇蟈馃堝掴漍过鈛國簂淉摑囻崞果褁
ha 鉿蛤铪蝦妎虾哈奤
hai 酼胲醢絯駭骸還咳餀氦亥饚嗨咍骇害烸嚡还孩海駴侅嗐郂嘿
han 谽涵鼾蔊暵垾蛿嵅雗攼悍闬皔琀屽蜭鶾螒榦撖鋡鬫咁筨撼佄圅顄扞崡闞晘厈焓頇馯淊蜬娢韩翰酣忓豃仠魽熯梒汗駻邯寒旱哻凾唅莟傼銲涆虷蚶浛鋎歛桿頷譀汵嫨憾韓釬喊罕閈焊猂函晗菡甝浫邗嚂肣漢汉澏頜阚椷澣蘫馠含顸鳱瀚捍颔憨晥睅
hang 頏杭蚢沆魧航斻筕颃巷行绗迒邟貥夯妔絎苀笐吭
hao 昦镐獋嚆恏濠聕颢好貉澔儫灝暠耗暤悎蒿竓薅毫鰝昊皜号蠔淏暭皓皞秏薧獆嘷曍哠蚝晧嗥郝呺滈嚎浩皡皥籇薃顥譹翯椃虠號藃傐噑鎬茠豪毜諕鄗灏壕
he 抲嗬訶佫赫篕荷餲煂訸閤鹖礉貉楁鲄劾何咊焃齃吓嗃纥螛挌犵盇鞨轄皬湼呵哬阂鸖鶴菏隺寉诃碋郃惒垎壑魺龢峆盍欱姀閡秴褐燺柇熆澕啝翮龁蠚辖渮贺癋鶡詥齕鶮賀曷鑉敆盒鉌阖愒颌翯合袔喝籺嚇禾狢涸爀謞鹤盉闔核頜毼麧覈和萂貈河饸熇餄紇
hei 黒嗨潶黑嘿
hen 佷噷狠詪痕鞎很恨拫
heng 佷橫亨恒烆啈涥堼恆珩脝鑅鸻桁胻悙行衡哼鴴姮横蘅
hong 閎嚝硡蕻闀宏轰嗊烘泓鍧葓揈谾渹舼厷黌鞃虹吰竤霐愩澋硔巆哄屸綋葒红浲焢呍荭谹霟紅灴鴻谼澒訇黉粠羾鬨撔洪彋弘魟宖仜耾娂翃汯浤垬潂鉷薨晎輷竑轟銾叿渱翝玒訌讧玜閧闳苰鋐纮闂紘鸿妅紭鈜唝篊
hou 候詬齁鮜郈鲎葔逅餱吽鱟矦鄇腄翵銗睺瘊豞洉吼翭堠呴喉篌後帿骺猴犼厚后垕鲘鍭糇鯸侯
hu 笏楛簄箶戲壷鴩鶦虍箎頀昒觳虝祜曶糊壺匢鹕汻戱岵鵠搰蔛許泘冱鹄瑚芐綔滬瓳淲戏帍餬衚媩弖唿護狐滸囫韄嗀戸鶮鱯濩蝴嘝惚沪呼絗擭虖戯壶洿怙煳葫瀫和嚛唬护戽琥槴斛鄠礐苸浒蔰户頶恗瓡烀縠鬍互雽焀鹘沍楜戶鶻虎乕湖匫冴觷穫乎膴雐謼醐滹俿錿嫮鍙幠轷许抇摢鰗萀昈胡鳠寣豰垀歑婟鶘淴嫭縎怘螜乊淈鸌姱弧熩忽核枑魱鳸瓠槲軤猢扈喖鹱鍸嘑
